Source,Target
212,219
212,220
212,224
212,240
212,272
212,341
212,383
212,414
212,508
212,673
212,697
212,843
212,1179
212,1180
212,1473
212,1581
212,1591
212,1785
212,1956
212,2907
212,1886
219,220
219,224
219,272
219,383
219,414
219,508
219,697
219,1180
219,1581
219,1591
219,1785
219,1956
219,2907
219,1886
220,224
220,240
220,268
220,272
220,317
220,341
220,383
220,414
220,508
220,673
220,697
220,843
220,1180
220,1470
220,1473
220,1475
220,1517
220,1581
220,1591
220,1785
220,1956
220,2907
220,1886
224,240
224,341
224,383
224,414
224,843
224,1179
224,1180
224,1581
224,1591
224,2907
240,268
240,317
240,341
240,383
240,673
240,843
240,881
240,1179
240,1180
240,1470
240,1473
240,1475
240,1517
240,2131
268,212
268,272
268,317
268,341
268,383
268,414
268,673
268,697
268,843
268,881
268,1470
268,1473
268,1475
268,1517
268,1956
268,2131
272,224
272,317
272,341
272,383
272,508
272,697
272,843
272,881
272,1179
272,1180
272,1470
272,1473
272,1581
272,1591
272,1785
272,1956
272,2131
272,2907
272,1886
317,341
317,383
317,673
317,843
317,881
317,1180
317,1470
317,1473
317,1475
317,1517
317,2131
341,383
341,673
341,843
341,881
341,1179
341,1180
341,1470
341,1473
341,1475
341,1517
341,2907
383,414
383,673
383,1473
383,1475
383,1517
383,2907
414,697
414,881
414,1475
414,1517
508,224
508,383
508,414
508,697
508,1180
508,1581
508,1591
508,1785
508,1956
508,2907
508,1886
673,414
673,1475
697,224
697,383
697,673
697,843
697,1180
697,1473
697,1475
697,1581
697,1591
697,1785
697,1956
697,2907
697,1886
843,219
843,383
843,508
843,1179
843,1180
843,1470
843,1473
843,1475
843,1517
843,1591
843,1785
843,1956
843,2131
843,2907
843,1886
881,673
881,1473
881,1475
881,1517
1179,383
1179,414
1179,1180
1179,1470
1179,1591
1179,2131
1179,2907
1180,383
1180,414
1180,673
1180,881
1180,1475
1180,1517
1180,1581
1180,1591
1180,1785
1180,1956
1180,2131
1180,2907
1180,1886
1470,383
1470,673
1470,881
1470,1180
1470,1473
1470,1475
1470,1517
1470,2131
1470,2907
1473,414
1473,1180
1473,1475
1473,1517
1517,673
1517,1475
1517,2907
1581,383
1581,843
1581,881
1581,1470
1581,1473
1581,1591
1581,1785
1581,1956
1581,2907
1581,1886
1591,383
1591,414
1591,1785
1591,2907
1591,1886
1785,224
1785,268
1785,383
1785,1956
1785,2907
1785,1886
1956,224
1956,383
1956,414
1956,1475
1956,1517
1956,1591
1956,2907
2131,212
2131,220
2131,341
2131,414
2131,673
2131,881
2131,1475
2131,1517
2131,1591
2131,1886
2907,414
2907,673
1886,224
1886,383
1886,414
1886,673
1886,1956
1886,2907
