Id,Label
212,JAMES H. HYDE
219,LOUIS FITZGERALD
220,E.H. HARRIMAN
223,OTTO H. KAHN
224,WILLIAM H. McINTYRE
225,J. HENRY SMITH
240,SAMUEL D. BABCOCK
245,J. ROGERS MAXWELL
246,SAMUEL REA
255,JAMES F. FARGO
268,GEORGE F. BAKER
272,JOHN JACOB ASTOR
273,HARRISON E. GAWTRY
276,CHARLES A. PEABODY
317,GEORGE S. BOWDOIN
327,JOHN E. PARSONS
332,WILLIAM TILLINGHAST
341,GEORGE G. HAVEN
382,JOHN G. McCULLOUGH
383,D.O. MILLS
384,WILLIAM A. READ
389,GEORGE A. WOOD
399,JOHN S. KENNEDY
401,SAMUEL SLOAN
413,JOSEPH PARK
414,JAMES STILLMAN
497,EDWIN GOULD
508,THOMAS T. ECKERT
509,FRANK JAY GOULD
510,MYRON T. HERRICK
515,JOHN SKELTON WILLIAMS
622,FRANCIS L. HINE
648,JOHN P. MUNN
672,GEORGE MACCOLLOCH MILLER
673,JAMES SPEYER
689,HENRY W. CANNON
697,JAMES J. HILL
699,JOHN I. WATERBURY
782,GEORGE W. PERKINS
823,ANSON R. FLOWER
843,AUGUST BELMONT
861,EBEN B. THOMAS
874,MARSHALL FIELD
881,ROBERT OLYPHANT
901,R.R. CABLE
1131,WILLIAM WALDORF ASTOR
1132,EDWARD R. BACON
1136,HENRY HENTZ
1143,"CHARLES A. PEABODY, JR."
1144,MOSES TAYLOR PYNE
1146,HENRY A.C. TAYLOR
1150,THOMAS P. FOWLER
1171,RUSSELL SAGE
1179,E.J. BERWIND
1180,CHAUNCEY M. DEPEW
1226,H.C. FAHNESTOCK
1230,H. FAHNESTOCK
1233,WILLIAM H. MOORE
1234,J.P. MORGAN
1376,OGDEN MILLS
1462,WALTER G. OAKMAN
1470,FREDERIC CROMWELL
1472,R. SOMERS HAYES
1473,ALEXANDER E. ORR
1474,HENRY H. ROGERS
1475,H. McK. TWOMBLY
1476,FREDERICK W. VANDERBILT
1517,WILLIAM ROCKEFELLER
1581,JAMES W. ALEXANDER
1586,ABRAM S. HEWITT
1587,H.E. HUNTINGTON
1591,JOHN J. McCOOK
1753,CHARLES C. CLARKE
1785,A.J. CASSATT
1787,RUDULPH ELLIS
1857,HORACE E. GARTH
1883,OLIVER AMES
1886,GEORGE J. GOULD
1887,CLEMENT A. GRISCOM
1890,MORTIMER L. SCHIFF
1937,E. HAWLEY
1956,BRAYTON IVES
1970,NORMAN B. REAM
1993,WILLIAM MORTON GRINNELL
2128,ROBERT BACON
2130,"JOHN D. ROCKEFELLER, JR."
2131,STUYVESANT FISH
2382,JOEL FRANCIS FREEMAN
2514,GARDINER M. LANE
2518,SAMUEL SPENCER
2521,IRVING A. STEARNS
2522,CHARLES STEELE
2523,NATHANIEL THAYER
2588,CHARLES F. BROOKER
2596,HENRY C. ROUSE
2597,HERBERT L. SATTERLEE
2679,N. PARKER SHORTRIDGE
2680,CHARLES H. TWEED
2705,WILLIAM B. LEEDS
2786,HOMER S. KING
2789,DUDLEY EVANS
2858,MARTIN ERDMANN
2907,JACOB H. SCHIFF
2937,J.J. GOODWIN
2938,F.L. STETSON
2940,F.D. UNDERWOOD
2941,J.L. WELSH
2943,G.S. BREWSTER
2945,J.H. MOORE
2946,D.G. REID
2947,F.S. WHEELER
